ID,height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans
18,5,19,95,3.8,0.232,0.4,5.5,22,38,4
30,11,9,99,0.818,0.343,0.626,3.4,34,62,10
66,11,102,1122,9.273,0.223,0.768,1.53,250,862,163
86,1,8,8,8,1,1,8,8,8,1
94,8,3,24,0.375,0.417,0.417,10,10,10,1
104,9,32,288,3.556,0.302,0.781,2.07,87,225,42
113,8,48,384,6,0.302,0.914,1.76,116,351,66
120,1,17,17,17,0.765,1,3.25,13,17,4
175,8,70,560,8.75,0.341,0.918,1.66,191,514,115
176,11,84,924,7.636,0.262,0.82,1.69,242,758,143
210,9,46,414,5.111,0.292,0.676,1.92,121,280,63
218,8,41,328,5.125,0.335,0.933,2.08,110,306,53
221,1,75,75,75,0.813,1,5.55,61,75,11
230,5,3,15,0.6,0.467,1,7,7,15,1
247,1,32,32,32,0.719,1,5.75,23,32,4
251,9,37,333,4.111,0.381,0.808,2.05,127,269,62
256,9,32,288,3.556,0.292,0.826,1.53,84,238,55
270,25,71,1775,2.84,0.234,0.748,2.22,416,1328,187
279,11,84,924,7.636,0.251,0.681,1.77,232,629,131
319,7,27,189,3.857,0.101,0.619,3.8,19,117,5
322,11,96,1056,8.727,0.331,0.954,4.32,350,1007,81
330,9,76,684,8.444,0.363,0.874,2.18,248,598,114
340,306,465,142290,1.52,0.055,0.123,2.69,7861,17452,2925
365,1,52,52,52,0.538,1,14,28,52,2
366,10,24,240,2.4,0.267,0.821,2.06,64,197,31
370,11,67,737,6.091,0.331,0.844,2.28,244,622,107
381,11,102,1122,9.273,0.289,0.829,1.87,324,930,173
385,10,53,530,5.3,0.34,0.9,1.82,180,477,99
390,11,13,143,1.182,0.42,0.979,2.22,60,140,27
410,10,40,400,4,0.428,0.895,3.05,171,358,56
452,12,101,1212,8.417,0.292,0.792,1.99,354,960,178
471,11,92,1012,8.364,0.361,0.851,2.3,365,861,159
489,11,123,1353,11.182,0.25,0.514,1.95,338,695,173
507,9,82,738,9.111,0.428,0.936,2.38,316,691,133
508,10,79,790,7.9,0.347,0.784,2.25,274,619,122
512,10,53,530,5.3,0.343,0.811,2,182,430,91
516,12,102,1224,8.5,0.292,0.764,2.09,357,935,171
535,9,85,765,9.444,0.395,0.846,2.32,302,647,130
544,9,44,396,4.889,0.449,0.879,2.97,178,348,60
548,1,7,7,7,1,1,7,7,7,1
550,10,42,420,4.2,0.317,0.85,2.22,133,357,60
555,1,28,28,28,0.964,1,27,27,28,1
561,7,16,112,2.286,0.241,0.634,2.45,27,71,11
582,9,78,702,8.667,0.329,0.896,2.1,231,629,110
588,9,12,108,1.333,0.407,1,1.63,44,108,27
613,9,46,414,5.111,0.365,0.848,2.01,151,351,75
618,11,86,946,7.818,0.289,0.701,1.98,273,663,138
625,8,36,288,4.5,0.559,0.944,3.04,161,272,53
645,7,35,245,5,0.482,0.841,2.81,118,206,42
648,8,45,360,5.625,0.222,0.806,1.9,80,290,42
652,7,58,406,8.286,0.212,0.842,2.26,86,342,38
653,7,40,280,5.714,0.186,0.754,2.26,52,211,23
658,13,77,1001,5.923,0.258,0.564,3.04,258,565,85
671,9,97,873,10.778,0.455,0.939,2.28,397,820,174
674,9,23,207,2.556,0.324,0.986,1.63,67,204,41
689,9,13,117,1.444,0.103,0.752,4,12,88,3
693,9,9,81,1,0.16,0.864,1.63,13,70,8
696,9,52,468,5.778,0.37,0.996,1.71,173,466,101
704,11,8,88,0.727,0.261,1,2.09,23,88,11
712,10,64,640,6.4,0.477,0.914,2.8,305,585,109
713,8,36,288,4.5,0.615,0.938,3.22,177,270,55
723,9,47,423,5.222,0.286,0.738,1.95,121,312,62
726,9,46,414,5.111,0.29,0.838,2.18,120,347,55
751,5,16,80,3.2,0.313,0.813,2.08,25,65,12
784,9,99,891,11,0.288,0.801,1.95,257,714,132
789,9,99,891,11,0.312,0.826,2.16,278,736,129
816,9,32,288,3.556,0.299,0.691,2.1,86,199,41
839,8,3,24,0.375,0.458,0.667,2.2,11,16,5
856,10,8,80,0.8,0.675,1,9,54,80,6
866,8,21,168,2.625,0.548,1,3.54,92,168,26
881,8,84,672,10.5,0.36,0.954,1.94,242,641,125
884,8,53,424,6.625,0.33,0.894,1.63,140,379,86
885,10,84,840,8.4,0.279,0.896,1.65,234,753,142
889,8,83,664,10.375,0.357,0.979,1.98,237,650,120
901,8,76,608,9.5,0.388,0.903,2.11,236,549,112
928,1,147,147,147,0.864,1,11.55,127,147,11
945,8,64,512,8,0.301,0.857,1.93,154,439,80
946,9,133,1197,14.778,0.236,0.718,1.89,283,859,150
958,12,168,2016,14,0.255,0.719,2.1,515,1449,245
962,17,1,17,0.059,1,1,17,17,17,1
966,13,106,1378,8.154,0.306,0.688,2.37,422,948,178
967,7,9,63,1.286,0.143,0.238,9,9,15,1
977,13,1,13,0.077,1,1,13,13,13,1
985,3,54,162,18,0.364,0.519,8.43,59,84,7
987,8,76,608,9.5,0.475,0.87,2.73,289,529,106
992,11,71,781,6.455,0.37,0.726,2.41,289,567,120
996,8,132,1056,16.5,0.31,0.861,1.84,327,909,178
997,15,54,810,3.6,0.323,0.689,2.45,262,558,107
1017,49,79,3871,1.612,0.084,0.179,7.36,324,694,44
1022,10,75,750,7.5,0.428,0.909,2.28,321,682,141
1026,7,114,798,16.286,0.253,0.741,1.77,202,591,114
1040,8,70,560,8.75,0.371,0.911,1.7,208,510,122
1045,10,107,1070,10.7,0.273,0.738,1.81,292,790,161
1059,12,129,1548,10.75,0.303,0.711,2.51,469,1100,187
1061,9,119,1071,13.222,0.422,0.965,2.34,452,1033,193
1071,5,39,195,7.8,0.41,0.867,1.67,80,169,48
1093,11,35,385,3.182,0.351,0.652,2.25,135,251,60
1095,9,42,378,4.667,0.378,0.841,2.65,143,318,54
1101,13,147,1911,11.308,0.358,0.703,3.6,684,1343,190
1113,12,67,804,5.583,0.403,0.704,3.68,324,566,88
1135,8,62,496,7.75,0.363,0.925,2.12,180,459,85
1137,8,132,1056,16.5,0.311,0.873,2.01,328,922,163
1156,9,12,108,1.333,0.62,0.944,4.79,67,102,14
1169,10,61,610,6.1,0.487,0.834,3.13,297,509,95
1176,5,116,580,23.2,0.376,0.784,2.18,218,455,100
1177,4,89,356,22.25,0.34,0.916,1.64,121,326,74
1198,10,35,350,3.5,0.331,0.686,1.93,116,240,60
1200,47,286,13442,6.085,0.183,0.317,4.67,2459,4258,526
1217,22,70,1540,3.182,0.525,0.838,11.54,808,1290,70
1227,11,30,330,2.727,0.379,0.739,3.05,125,244,41
1245,11,101,1111,9.182,0.33,0.734,2.68,367,815,137
1261,10,121,1210,12.1,0.415,0.879,2.61,502,1063,192
1263,11,23,253,2.091,0.415,0.858,3.5,105,217,30
1264,27,115,3105,4.259,0.293,0.672,2.35,910,2087,388
1265,11,90,990,8.182,0.362,0.808,2.82,358,800,127
1270,6,51,306,8.5,0.454,0.817,2.44,139,250,57
1274,9,42,378,4.667,0.452,0.942,2.85,171,356,60
1277,10,181,1810,18.1,0.491,0.866,3.25,888,1567,273
1280,12,414,4968,34.5,0.313,0.734,2.3,1554,3646,675
1290,10,33,330,3.3,0.282,0.839,1.82,93,277,51
1299,7,389,2723,55.571,0.167,0.584,1.19,455,1591,381
1303,18,79,1422,4.389,0.257,0.616,3.17,365,876,115
1332,10,271,2710,27.1,0.251,0.754,1.88,679,2044,362
